strategy_profile_id,recipe_id,recipe_name,gate_stage,blocked_scope,default_priority_class,required_before_commit,parameterized,provenance
rocky_relaxed_districted_v1,cast_screw,Cast Screw,before_phase_1,starter_architecture,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,stitched_iron_plate,Stitched Iron Plate,before_phase_1,starter_architecture,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,iron_wire,Iron Wire,before_phase_1,starter_optimization,TARGET,false,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,solid_steel_ingot,Solid Steel Ingot,before_phase_2,rocky_desert_c,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,encased_industrial_pipe,Encased Industrial Pipe,before_phase_2,rocky_desert_c,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,steel_rotor,Steel Rotor,before_phase_2,rocky_desert_c,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,molded_steel_pipe,Molded Steel Pipe,before_phase_2,rocky_desert_c,TARGET,false,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,heavy_oil_residue,Heavy Oil Residue,tier_5_6_oil,rocky_desert_d,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,recycled_plastic,Recycled Plastic,tier_5_6_oil,rocky_desert_d,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,recycled_rubber,Recycled Rubber,tier_5_6_oil,rocky_desert_d,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,heavy_encased_frame,Heavy Encased Frame,tier_5_6_structural,rocky_desert_e,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,silicon_circuit_board,Silicon Circuit Board,tier_5_6,electronics_geography,TARGET,false,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,caterium_computer,Caterium Computer,tier_5_6,electronics_geography,TARGET,false,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,pure_copper_ingot,Pure Copper Ingot,tier_5_6,copper_capacity,TARGET,false,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,sloppy_alumina,Sloppy Alumina,before_phase_4,rocky_desert_f,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,pure_aluminum_ingot,Pure Aluminum Ingot,before_phase_4,rocky_desert_f,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,diluted_fuel,Diluted Fuel,before_phase_4,fuel_power_expansion,GET,true,true,rocky_desert_factory_district_plan(2).md
rocky_relaxed_districted_v1,electrode_aluminum_scrap,Electrode Aluminum Scrap,before_phase_4,rocky_desert_f,TARGET,false,true,rocky_desert_factory_district_plan(2).md
