fixture_foundation_id,instance_index,class_path,x_cm,y_cm,z_cm,east_m,north_m,origin_elevation_m,foundation_height_m,top_elevation_m,quat_x,quat_y,quat_z,quat_w,scale_x,scale_y,scale_z,recipe_path,save_build
fnd_0001,523,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-35199.99999513282,-500.0,-1512.0,351.9999999513282,-5.0,4.0,-3.0,0.0,-0.0,0.7071067811865475,0.7071067811865477,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0002,524,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-34399.99999513282,-500.0,-1512.0,343.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0003,525,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152000.0,-34399.99999513282,-500.0,-1520.0,343.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0004,526,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152800.0,-34399.99999513282,-500.0,-1528.0,343.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0005,527,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-33599.99999513282,-500.0,-1512.0,335.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0006,528,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-32799.99999513282,-500.0,-1512.0,327.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0007,529,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-31199.99999513282,-500.0,-1512.0,311.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0008,530,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-30399.99999513282,-500.0,-1512.0,303.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0009,531,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-29599.99999513282,-500.0,-1512.0,295.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0010,532,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-151200.0,-28799.99999513282,-500.0,-1512.0,287.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0011,533,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152000.0,-33599.99999513282,-500.0,-1520.0,335.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0012,534,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152000.0,-32799.99999513282,-500.0,-1520.0,327.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0013,535,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152000.0,-31999.99999513282,-500.0,-1520.0,319.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0014,536,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152000.0,-31199.99999513282,-500.0,-1520.0,311.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0015,537,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152000.0,-30399.99999513282,-500.0,-1520.0,303.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0016,538,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152000.0,-29599.99999513282,-500.0,-1520.0,295.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0017,539,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152000.0,-28799.99999513282,-500.0,-1520.0,287.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0018,540,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152800.0,-33599.99999513282,-500.0,-1528.0,335.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0019,541,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152800.0,-32799.99999513282,-500.0,-1528.0,327.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0020,542,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152800.0,-31999.99999513282,-500.0,-1528.0,319.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0021,543,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152800.0,-31199.99999513282,-500.0,-1528.0,311.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0022,544,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152800.0,-30399.99999513282,-500.0,-1528.0,303.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0023,545,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152800.0,-29599.99999513282,-500.0,-1528.0,295.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0024,546,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152800.0,-28799.99999513282,-500.0,-1528.0,287.9999999513282,-5.0,4.0,-3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
fnd_0025,547,/Game/FactoryGame/Buildable/Building/Foundation/Build_Foundation_8x4_01.Build_Foundation_8x4_01_C,-152800.0,-35199.99999513282,-500.0,-1528.0,351.9999999513282,-5.0,4.0,-3.0,-0.0,0.0,-0.7071067811865476,0.7071067811865477,1.0,1.0,1.0,/Game/FactoryGame/Recipes/Buildings/Foundations/Recipe_Foundation_8x4_01.Recipe_Foundation_8x4_01_C,502094
