schematic_id,dependency_schematic_id,dependency_class,require_all,game_build_id
Schematic_Tutorial1_5_C,Schematic_Tutorial1_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
Schematic_Tutorial2_C,Schematic_Tutorial1_5_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
Schematic_Tutorial3_C,Schematic_Tutorial2_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
Schematic_Tutorial4_C,Schematic_Tutorial3_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
Schematic_Tutorial5_C,Schematic_Tutorial4_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CustomizerUnlock_PipelineSwatch_C,1_C,BP_SchematicPurchasedDependency_C,False,docs_a81d250e96aa
CustomizerUnlock_PipelineSwatch_C,5_C,BP_SchematicPurchasedDependency_C,False,docs_a81d250e96aa
CBG_Ramps_Inverted_Asphalt_C,ResourceSink_Customizer_Asphalt_FoundationMaterial_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_Ramps_Inverted_Asphalt_C,ResourceSink_InvertedRampPack_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
ResourceSink_Customizer_Asphalt_FoundationMaterial_C,1_C,BP_SchematicPurchasedDependency_C,False,docs_a81d250e96aa
CBG_ExtensionQuarterPipes_Asphalt_C,ResourceSink_Customizer_Asphalt_FoundationMaterial_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_ExtensionQuarterPipes_Asphalt_C,ResourceSink_QuarterPipeExtensions_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_ExtensionQuarterPipes_Concrete_C,ResourceSink_Customizer_Concrete_FoundationMaterial_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_ExtensionQuarterPipes_Concrete_C,ResourceSink_QuarterPipeExtensions_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
ResourceSink_Customizer_Concrete_FoundationMaterial_C,1_C,BP_SchematicPurchasedDependency_C,False,docs_a81d250e96aa
CBG_Half_Foundations_Concrete_C,ResourceSink_HalfFoundations_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_Half_Foundations_Concrete_C,ResourceSink_Customizer_Concrete_FoundationMaterial_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_Half_Foundations_Asphalt_C,ResourceSink_HalfFoundations_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_Half_Foundations_Asphalt_C,ResourceSink_Customizer_Asphalt_FoundationMaterial_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_Half_Foundations_Metal_C,ResourceSink_HalfFoundations_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_Half_Foundations_Metal_C,ResourceSink_Customizer_GripMetal_FoundationMaterial_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
ResourceSink_Customizer_GripMetal_FoundationMaterial_C,4_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
ResourceSink_Customizer_GripMetal_FoundationMaterial_C,1_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_ExtensionQuarterPipes_GripMetal_C,ResourceSink_Customizer_GripMetal_FoundationMaterial_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_ExtensionQuarterPipes_GripMetal_C,ResourceSink_QuarterPipeExtensions_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
CBG_QuarterPipes_GripMetal_C,ResourceSink_Customizer_GripMetal_FoundationMaterial_C,BP_SchematicPurchasedDependency_C,True,docs_a81d250e96aa
